Fecha;Region Hidrologica;Nombre Río;Aportes Caudal m3/s;Aportes Energía kWh;Aportes %
6/02/2016;VALLE;DIGUA;11.990;153,100.000;0.5279310345
6/02/2016;VALLE;FLORIDA II;4.310;86,200.000;0.5746666667
7/02/2016;ANTIOQUIA;A. SAN LORENZO;10.526;2,404,000.000;0.4713725490
7/02/2016;ANTIOQUIA;CONCEPCION;1.932;528,100.000;0.4062307692
7/02/2016;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);3.635;993,600.000;0.5229473684
7/02/2016;ANTIOQUIA;DESV. MANSO;0.733;35,300.000;0.0706000000
7/02/2016;ANTIOQUIA;GRANDE;8.251;2,587,900.000;0.3783479532
7/02/2016;ANTIOQUIA;GUADALUPE;12.805;3,500,100.000;1.0028939830
7/02/2016;ANTIOQUIA;GUATAPE;7.624;1,286,300.000;0.3603081232
7/02/2016;ANTIOQUIA;MIEL I;22.073;1,064,400.000;0.2661000000
7/02/2016;ANTIOQUIA;NARE;11.644;4,108,300.000;0.3526437768
7/02/2016;ANTIOQUIA;PORCE II;30.236;3,849,100.000;0.5805580694
7/02/2016;ANTIOQUIA;PORCE III;9.545;704,200.000;0.5633600000
7/02/2016;ANTIOQUIA;SAN CARLOS;9.629;1,264,000.000;0.6257425743
7/02/2016;ANTIOQUIA;TENCHE;3.285;897,900.000;1.1223750000
7/02/2016;CARIBE;SINU URRA;71.090;764,000.000;0.5701492537
7/02/2016;CENTRO;AMOYA;9.266;1,081,000.000;0.6631901840
7/02/2016;CENTRO;BETANIA CP;50.040;748,900.000;0.3451152074
7/02/2016;CENTRO;BOGOTA N.R.;0.000;;
7/02/2016;CENTRO;EL QUIMBO;65.640;2,671,700.000;0.4240793651
7/02/2016;CENTRO;PRADO;4.880;57,600.000;0.0914285714
7/02/2016;CENTRO;SOGAMOSO;117.874;3,691,000.000;0.5849445325
7/02/2016;ORIENTE;BATA;6.230;1,048,500.000;0.4387029289
7/02/2016;ORIENTE;CHUZA;0.000;;
7/02/2016;ORIENTE;GUAVIO;10.210;2,387,500.000;0.5212882096
7/02/2016;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;2,445,600.000;0.4275524476
7/02/2016;VALLE;ALTOANCHICAYA;15.390;1,639,100.000;0.3988077859
7/02/2016;VALLE;CALIMA;1.360;61,100.000;0.1420930233
7/02/2016;VALLE;CAUCA SALVAJINA;25.040;596,600.000;0.1719308357
7/02/2016;VALLE;DIGUA;11.380;145,300.000;0.5010344828
7/02/2016;VALLE;FLORIDA II;4.310;86,200.000;0.5746666667
8/02/2016;ANTIOQUIA;A. SAN LORENZO;10.812;2,469,300.000;0.4841764706
8/02/2016;ANTIOQUIA;CONCEPCION;1.979;540,900.000;0.4160769231
8/02/2016;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);3.717;1,016,000.000;0.5347368421
8/02/2016;ANTIOQUIA;DESV. MANSO;2.287;110,300.000;0.2206000000
8/02/2016;ANTIOQUIA;GRANDE;8.449;2,650,000.000;0.3874269006
8/02/2016;ANTIOQUIA;GUADALUPE;8.828;2,413,100.000;0.6914326648
8/02/2016;ANTIOQUIA;GUATAPE;8.393;1,416,000.000;0.3966386555
8/02/2016;ANTIOQUIA;MIEL I;54.977;2,651,000.000;0.6627500000
8/02/2016;ANTIOQUIA;NARE;29.664;10,466,200.000;0.8983862661
8/02/2016;ANTIOQUIA;PORCE II;61.509;7,830,100.000;1.1810105580
8/02/2016;ANTIOQUIA;PORCE III;5.382;397,100.000;0.3176800000
8/02/2016;ANTIOQUIA;SAN CARLOS;9.364;1,229,200.000;0.6085148515
8/02/2016;ANTIOQUIA;TENCHE;2.708;740,200.000;0.9252500000
8/02/2016;CARIBE;SINU URRA;84.780;911,100.000;0.6799253731
8/02/2016;CENTRO;AMOYA;9.760;1,138,600.000;0.6985276074
8/02/2016;CENTRO;BETANIA CP;14.830;222,000.000;0.1023041475
8/02/2016;CENTRO;BOGOTA N.R.;0.000;;
8/02/2016;CENTRO;EL QUIMBO;89.770;3,653,800.000;0.5799682540
8/02/2016;CENTRO;PRADO;8.660;102,200.000;0.1622222222
8/02/2016;CENTRO;SOGAMOSO;110.602;3,463,300.000;0.5488589540
8/02/2016;ORIENTE;BATA;6.840;1,151,100.000;0.4816317992
8/02/2016;ORIENTE;CHUZA;1.040;413,700.000;0.3041911765
8/02/2016;ORIENTE;GUAVIO;18.040;4,218,500.000;0.9210698690
8/02/2016;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;3,309,200.000;0.5785314685
8/02/2016;VALLE;ALTOANCHICAYA;15.080;1,606,100.000;0.3907785888
8/02/2016;VALLE;CALIMA;2.710;121,700.000;0.2830232558
8/02/2016;VALLE;CAUCA SALVAJINA;21.910;522,100.000;0.1504610951
8/02/2016;VALLE;DIGUA;10.580;135,100.000;0.4658620690
8/02/2016;VALLE;FLORIDA II;5.190;103,800.000;0.6920000000
9/02/2016;ANTIOQUIA;A. SAN LORENZO;10.526;2,404,000.000;0.4713725490
9/02/2016;ANTIOQUIA;CONCEPCION;1.958;535,200.000;0.4116923077
9/02/2016;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);3.685;1,007,300.000;0.5301578947
9/02/2016;ANTIOQUIA;DESV. MANSO;0.000;;
9/02/2016;ANTIOQUIA;GRANDE;8.294;2,601,300.000;0.3803070175
9/02/2016;ANTIOQUIA;GUADALUPE;7.836;2,141,900.000;0.6137249284
9/02/2016;ANTIOQUIA;GUATAPE;8.777;1,480,800.000;0.4147899160
9/02/2016;ANTIOQUIA;MIEL I;28.058;1,353,000.000;0.3382500000
9/02/2016;ANTIOQUIA;NARE;17.727;6,254,500.000;0.5368669528
9/02/2016;ANTIOQUIA;PORCE II;34.812;4,431,600.000;0.6684162896
9/02/2016;ANTIOQUIA;PORCE III;6.270;462,600.000;0.3700800000
9/02/2016;ANTIOQUIA;SAN CARLOS;9.495;1,246,400.000;0.6170297030
9/02/2016;ANTIOQUIA;TENCHE;2.105;575,400.000;0.7192500000
9/02/2016;CARIBE;SINU URRA;110.420;1,186,700.000;0.8855970149
9/02/2016;CENTRO;AMOYA;9.746;1,137,000.000;0.6975460123
9/02/2016;CENTRO;BETANIA CP;56.110;839,800.000;0.3870046083
9/02/2016;CENTRO;BOGOTA N.R.;2.180;867,100.000;0.2619637462
9/02/2016;CENTRO;EL QUIMBO;234.410;9,540,900.000;1.5144285710
9/02/2016;CENTRO;PRADO;15.700;185,200.000;0.2939682540
9/02/2016;CENTRO;SOGAMOSO;107.998;3,381,700.000;0.5359270998
9/02/2016;ORIENTE;BATA;7.260;1,221,800.000;0.5112133891
9/02/2016;ORIENTE;CHUZA;0.520;206,800.000;0.1520588235
9/02/2016;ORIENTE;GUAVIO;16.130;3,771,800.000;0.8235371179
9/02/2016;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;3,150,700.000;0.5508216783
9/02/2016;VALLE;ALTOANCHICAYA;12.830;1,366,400.000;0.3324574209
9/02/2016;VALLE;CALIMA;1.360;61,100.000;0.1420930233
