Fecha;Recurso;Código Agente;Precio de Oferta Ideal $/kWh;Precio de Oferta de Despacho $/kWh;Precio de Oferta Declarado $/kWh
6/02/2016;SALVAJINA;EPSG;860.077367;880.000;880.000
6/02/2016;SAN CARLOS;ISGG;478.646367;487.000;487.000
6/02/2016;SOGAMOSO;ISGG;860.078367;1157.900;1157.900
6/02/2016;TASAJERO 1;TRMG;152.626367;160.980;160.980
6/02/2016;TASAJERO 2;TERG;163.126367;171.480;171.480
6/02/2016;TEBSAB;GECG;335.834367;344.188;344.188
6/02/2016;TERMOCANDELARIA 1;TCIG;801.435367;858.323;858.323
6/02/2016;TERMOCANDELARIA 2;TCIG;801.806367;866.907;866.907
6/02/2016;TERMOCENTRO CC;ISGG;354.961367;363.315;363.315
6/02/2016;TERMODORADA 1;EPMG;706.186367;714.540;714.540
6/02/2016;TERMOEMCALI 1;TEMG;355.697367;364.051;364.051
6/02/2016;TERMOSIERRAB;EPMG;348.825367;357.179;357.179
6/02/2016;TERMOVALLE 1;TMVG;425.885367;434.239;434.239
6/02/2016;TERMOYOPAL 2;TYPG;71.646367;80.000;80.000
6/02/2016;URRA;EMUG;58.649367;67.003;67.003
6/02/2016;ZIPAEMG 2;ENDG;163.102367;171.456;171.456
6/02/2016;ZIPAEMG 3;ENDG;163.646367;172.000;172.000
6/02/2016;ZIPAEMG 4;ENDG;164.146367;172.500;172.500
6/02/2016;ZIPAEMG 5;ENDG;161.523367;169.877;169.877
7/02/2016;ALBAN;EPSG;516.646367;525.000;525.000
7/02/2016;BARRANQUILLA 3;GECG;337.239367;345.593;345.593
7/02/2016;BARRANQUILLA 4;GECG;338.248367;346.602;346.602
7/02/2016;BETANIA;ENDG;860.077367;1000.000;1000.000
7/02/2016;CALIMA;EPSG;860.076367;869.000;869.000
7/02/2016;CARTAGENA 1;ENDG;430.721367;439.075;439.075
7/02/2016;CARTAGENA 2;ENDG;432.952367;441.306;441.306
7/02/2016;CARTAGENA 3;ENDG;426.132367;434.486;434.486
7/02/2016;CHIVOR;CHVG;570.033367;578.387;578.387
7/02/2016;CIMARRON;TMRG;71.646367;80.000;80.000
7/02/2016;EL QUIMBO;ENDG;860.072367;1000.000;1000.000
7/02/2016;FLORES 1;TMFG;336.646367;345.000;345.000
7/02/2016;FLORES 4B;TMFG;327.817367;336.171;336.171
7/02/2016;GECELCA 3;GECG;163.897367;172.251;172.251
7/02/2016;GUAJIRA 1;GECG;190.232367;198.586;198.586
7/02/2016;GUAJIRA 2;GECG;183.701367;192.055;192.055
7/02/2016;GUATAPE;EPMG;421.646367;430.000;430.000
7/02/2016;GUATRON;EPMG;441.646367;450.000;450.000
7/02/2016;GUAVIO;ENDG;441.646367;450.000;450.000
7/02/2016;JAGUAS;ISGG;860.075367;1157.900;1157.900
7/02/2016;LA TASAJERA;EPMG;431.646367;440.000;440.000
7/02/2016;MERILECTRICA 1;CIVG;341.646367;350.000;350.000
7/02/2016;MIEL I;ISGG;860.074367;1157.900;1157.900
7/02/2016;PAGUA;ENDG;58.648367;67.002;67.002
7/02/2016;PAIPA 1;HIMG;154.099367;162.453;162.453
7/02/2016;PAIPA 2;HIMG;135.174367;143.528;143.528
7/02/2016;PAIPA 3;HIMG;141.858367;150.212;150.212
7/02/2016;PAIPA 4;HIMG;129.499367;137.853;137.853
7/02/2016;PLAYAS;EPMG;411.646367;420.000;420.000
7/02/2016;PORCE II;EPMG;811.646367;820.000;820.000
7/02/2016;PORCE III;EPMG;791.646367;800.000;800.000
7/02/2016;PRADO;EPSG;860.073367;870.000;870.000
