Codigo SIC;Nombre Recurso;Capacidad Efectiva Neta [MW];Factor de Conversi�n;Es Menor;Tipo Despacho;Combustible por Defecto;Fecha Operaci�n;Municipio;Departamento;Agente Representante;Estado Recurso;Tipo Generaci�n;Clasificaci�n
AMA1;AMAIME;19.17;1.55;SI;ND;AGUA;6/01/2011;PALMIRA;VALLE DEL CAUCA;CELSIA COLOMBIA S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
SRA1;SANTA RITA;1.3;0.675;SI;ND;AGUA;18/08/2010;ANDES;ANTIOQUIA;EMPRESA DE GENERACION Y PROMOCION DE ENERGIA DE ANTIOQUIA S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
CUR1;CURRUCUCUES;1.25;0.52;SI;ND;AGUA;18/08/2010;ROVIRA;TOLIMA;ENERCO S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
GQA1;GUANAQUITAS;9.5;15;SI;ND;AGUA;30/06/2010;SANTA ROSADE OSOS;ANTIOQUIA;ISAGEN S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
PRC3;PORCE III;700;31;NO;DC;AGUA;9/02/2011;ANORI;ANTIOQUIA;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
GCA1;CARUQUIA;9.5;1.53;SI;ND;AGUA;28/01/2010;SANTA ROSADE OSOS;ANTIOQUIA;ISAGEN S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
AFR1;AGUA FRESCA;7.29;0;SI;ND;AGUA;10/04/2008;JERICO;ANTIOQUIA;ENERGIA DEL RIO PIEDRAS S.A. E.S.P;OPERACI�N;HIDRAULICA;NORMAL
INS1;INSULA;19;0.85;SI;ND;AGUA;20/07/1995;CHINCHINA;CALDAS;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
PRC2;PORCE II;405;2;NO;DC;AGUA;8/04/2001;AMALFI;ANTIOQUIA;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
HMLG;MIEL I;396;20;NO;DC;AGUA;1/12/2002;NORCASIA;CALDAS;ISAGEN S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
URA1;URRA;338;0.4816;NO;DC;AGUA;14/02/2000;TIERRALTA;C�RDOBA;EMPRESA URRA S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
SAN1;SAN ANTONIO;19.4;3.6;SI;ND;AGUA;22/08/2003;BOGOTA D.C;BOGOT�. D.C.;ENEL COLOMBIA SA ESP;INACTIVO;HIDRAULICA;NORMAL
PRD4;PRADO IV;5;0.4904;SI;ND;AGUA;1/03/1973;PRADO;TOLIMA;CELSIA COLOMBIA S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
2QRL;LA REBUSCA;0.7;1.09;SI;ND;AGUA;24/07/2014;SAN ROQUE;ANTIOQUIA;HZ ENERGY S.A.S. E.S.P.;OPERACI�N;HIDRAULICA;GEN. DISTRIBUIDA
PTC1;PATICO - LA CABRERA;1.48;0;SI;ND;AGUA;1/01/1930;POPAYAN;CAUCA;CCG ENERGY S.A.S. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
CCN1;COCONUCO;4.5;0;SI;ND;AGUA;27/09/2000;POPAYAN;CAUCA;EMPRESA MUNICIPAL DE ENERGIA ELECTRICA S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
CLDR;CALDERAS;19.9;13;SI;ND;AGUA;30/06/2006;SAN CARLOS;ANTIOQUIA;ISAGEN S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
PLU1;URRAO;1.03;0;SI;ND;AGUA;30/07/2007;URRAO;ANTIOQUIA;DEPI ENERGY S.A.S. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
BSQ1;EL BOSQUE;2.28;0;SI;ND;AGUA;1/01/1935;ARMENIA;QUIND�O;ENERGIA RENOVABLE DE COLOMBIA S.A.S E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
ABJ1;LA CASCADA ( ABEJORRAL);3;0;SI;ND;AGUA;17/09/2007;ABEJORRAL;ANTIOQUIA;EMPRESA DE GENERACION Y PROMOCION DE ENERGIA DE ANTIOQUIA S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
LCS1;LA CASCADA (ANTIOQUIA);2.3;0.001;SI;ND;AGUA;17/07/2007;SAN ROQUE;ANTIOQUIA;VATIA S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
SNT1;SANTA ANA;8;0;SI;ND;AGUA;9/06/2005;UBALA;CUNDINAMARCA;ENEL COLOMBIA SA ESP;OPERACI�N;HIDRAULICA;NORMAL
SJOG;SAN JOSE;0.38;0.0001;SI;ND;AGUA;16/11/2003;PENSILVANIA;CALDAS;FUENTES DE ENERGIAS RENOVABLES S.A.S. E.S.P.;OPERACI�N;HIDRAULICA;GEN. DISTRIBUIDA
LPLO;RIO PALO;1.44;0;SI;ND;AGUA;1/01/1960;CALOTO;CAUCA;VATIA S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
MNC1;MUNICIPAL;1.4;0;SI;ND;AGUA;1/01/1935;MANIZALES;CALDAS;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
RBB1;RIO BOBO;4;0;SI;ND;AGUA;1/01/1960;SANTA ROSA;CAUCA;CENTRALES ELECTRICAS DE NARI�O S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
RNG1;RIONEGRO;10.2;0;SI;ND;AGUA;1/01/1975;PUERTO SALGAR;CUNDINAMARCA;ESPACIO PRODUCTIVO S.A.S. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
RGR1;RIO GRANDE;0.3;0;SI;ND;AGUA;1/12/2007;DON MATIAS;ANTIOQUIA;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACI�N;HIDRAULICA;GEN. DISTRIBUIDA
RMR1;RUMOR;2.5;0.34;SI;ND;AGUA;1/01/1999;TULUA;VALLE DEL CAUCA;COMPA�IA DE ELECTRICIDAD DE TULUA S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
PGUG;PAGUA;600;160;NO;DC;AGUA;1/12/1986;LA MESA;CUNDINAMARCA;ENEL COLOMBIA SA ESP;OPERACI�N;HIDRAULICA;NORMAL
GTRG;GUATRON;512;89;NO;DC;AGUA;1/01/1966;GOMEZ PLATA;ANTIOQUIA;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
ALBG;ALTO ANCHICAYA;427;42;NO;DC;AGUA;15/12/2000;BUENAVENTURA;VALLE DEL CAUCA;CELSIA COLOMBIA S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
RFR1;RIO FRIO I;1.67;0;SI;ND;AGUA;1/01/1954;RIOFRIO;VALLE DEL CAUCA;COMPA�IA DE ELECTRICIDAD DE TULUA S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
RCL1;RIO CALI;1.8;0;SI;ND;AGUA;1/01/1925;CALI;VALLE DEL CAUCA;CELSIA COLOMBIA S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
VNTB;VENTANA B;2.5;0;SI;ND;AGUA;1/11/1957;CHICORAL;TOLIMA;HIDROTOLIMA S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
VNTA;VENTANA A;2.5;0;SI;ND;AGUA;1/11/1957;CHICORAL;TOLIMA;HIDROTOLIMA S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
RPD1;RIO PIEDRAS;20;5.88;NO;DC;AGUA;31/03/2000;JERICO;ANTIOQUIA;CELSIA COLOMBIA S.A. E.S.P.;OPERACI�N;HIDRAULICA;FILO DE AGUA
PLM1;PALMAS SAN GIL;15;0;SI;ND;AGUA;1/01/1954;SAN GIL;SANTANDER;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
ZRG1;ZARAGOZA;1.3;0;SI;ND;AGUA;1/01/1932;BUCARAMANGA;SANTANDER;ELECTRIFICADORA DE SANTANDER S.A. E.S.P.;INACTIVO;HIDRAULICA;NORMAL
PJR1;PAJARITO;13.2;19;SI;ND;AGUA;25/11/1999;YARUMAL;ANTIOQUIA;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
CSC1;CASCADA;3;0;SI;ND;AGUA;1/01/1954;BUCARAMANGA;SANTANDER;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
RCIO;RIO RECIO;0.984;0;SI;ND;AGUA;1/11/1958;LERIDA;TOLIMA;HIDROTOLIMA S.A. E.S.P.;OPERACI�N;HIDRAULICA;GEN. DISTRIBUIDA
RFR2;RIO FRIO II;10;0;SI;ND;AGUA;1/01/1996;RIOFRIO;VALLE DEL CAUCA;COMPA�IA DE ELECTRICIDAD DE TULUA S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
RBJ1;RIO ABAJO;0.9;0;SI;ND;AGUA;1/01/1947;SAN VICENTE;ANTIOQUIA;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;INACTIVO;HIDRAULICA;NORMAL
JBV1;JULIO BRAVO;1.5;0;SI;ND;AGUA;1/01/1942;PASTO;NARI�O;CENTRALES ELECTRICAS DE NARI�O S.A. E.S.P.;INACTIVO;HIDRAULICA;NORMAL
PTA1;LA PITA;1.42;0;SI;ND;AGUA;1/01/1965;GARZON;HUILA;ELECTRIFICADORA DEL HUILA S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
IQU2;IQUIRA II;1.38;0;SI;ND;AGUA;1/01/1965;IQUIRA;HUILA;ELECTRIFICADORA DEL HUILA S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
IQU1;IQUIRA I;4.32;0;SI;ND;AGUA;1/01/1955;IQUIRA;HUILA;ELECTRIFICADORA DEL HUILA S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
SLV1;SILVIA;0.38;0;SI;ND;AGUA;1/01/1994;SILVIA;CAUCA;VATIA S.A. E.S.P.;OPERACI�N;HIDRAULICA;GEN. DISTRIBUIDA
SJN1;SAJANDI;3.2;0;SI;ND;AGUA;1/01/1995;PATIA (EL BORDO);CAUCA;VATIA S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
RIN1;RIO INGENIO;0.18;0;SI;ND;AGUA;1/01/1958;SANDONA;NARI�O;CENTRALES ELECTRICAS DE NARI�O S.A. E.S.P.;INACTIVO;HIDRAULICA;NORMAL
NTB1;NUTIBARA;0.75;1;SI;ND;AGUA;1/01/1997;MEDELL�N;ANTIOQUIA;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACI�N;HIDRAULICA;GEN. DISTRIBUIDA
MIR1;MIROLINDO;3.75;0;SI;ND;AGUA;3/11/2004;IBAGUE;TOLIMA;HIDROTOLIMA S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
INZ1;INZA;0.75;0;SI;ND;AGUA;5/02/2009;INZA;CAUCA;VATIA S.A. E.S.P.;OPERACI�N;HIDRAULICA;GEN. DISTRIBUIDA
ASN1;ASNAZU;0.45;0;SI;ND;AGUA;1/01/1934;SUAREZ;CAUCA;VATIA S.A. E.S.P.;OPERACI�N;HIDRAULICA;GEN. DISTRIBUIDA
UNN1;UNION;0.7;0.001;SI;ND;AGUA;1/01/1935;CALARCA;QUIND�O;EMPRESAS PUBLICAS DE CALARCA ESP;OPERACI�N;HIDRAULICA;GEN. DISTRIBUIDA
